,optimized,actual value,optimized value
0,profit,32127.430433557638,36300.910267
1,power_export_dollar,16059.777497741668,22225.842884
2,total_fuel_within_PH_dollar,22271.787031126594,24264.372585
3,total_power_export_MW,162.5787582397461,225.0
4,GT_C1_NG_Flow_SCFH,7319.091487630209,0.0
5,GT_C2_NG_Flow_SCFH,636042.7979166667,754766.49553
6,GT_C4_NG_Flow_SCFH,848888.0343749999,612994.64346
7,GT_C5_NG_Flow_SCFH,876444.5614583334,500000.0
8,GT_R5_NG_Flow_KPPH,64.85166893005372,85.0
9,GT_R6_NG_Flow_KPPH,65.16500193277994,85.0
10,FHRSG_C1_NG_SCFH,237103.92760416667,209336.77285
11,FHRSG_C2_NG_SCFH,227677.47682291665,407417.44059
12,HRSG_R5_Steam_Gen_1900_KLBH,384.2696909586589,487.87853819
13,HRSG_R6_Steam_Gen_1900_KLBH,380.79161732991537,431.86661907
14,STG_C3_Steam_Cons_1250_LBH,872841.1263020826,975175.86618
15,STG_R2_Steam_Cons_600_KLBH,0.0,0.0
16,STG_R3_Steam_Cons_600_KLBH,6.146599769592285,0.0
17,STG_R4_Steam_Cons_1900_KLBH,901.7800109863282,917.43562459
18,GT_C1_Power_MW,0.5905576149622599,0.0
19,GT_C2_Power_MW,47.06145769755045,65.0
20,GT_C4_Power_MW,71.07545839945475,43.089420211
21,GT_C5_Power_MW,67.73431040445963,31.004733894
22,GT_R5_Power_MW,132.19686584472655,183.68594195
23,GT_R6_Power_MW,132.5002446492513,185.04972973
24,STG_C3_Power_MW,30.360196590423584,33.559325627
25,STG_R2_Power_MW,0.0,0.0
26,STG_R3_Power_MW,0.0,0.0
27,STG_R4_Power_MW,56.75945129394531,59.310632847
28,Power_Gen_MW,538.2785424947738,600.69978426
29,Letdown_1900_TO_600_KLBH,0.0,0.0
30,BLR_C1_Steam_Gen_1250_LBH,126387.233203125,100000.0
31,BLR_C2_Steam_Gen_1250_LBH,396337.7447916667,607263.01968
32,HRSG_C4_Steam_Gen_1250_LBH,203294.2841145833,184906.78521
33,HRSG_C5_Steam_Gen_1250_LBH,240509.80416666667,176694.00127
34,Letdown_1250_TO_400_LBH,0.0,0.0
35,STG_R4_Steam_Gen_600_KLBH,511.2981384277344,773.60897064
36,STG_C3_Steam_Gen_400_LBH,255166.81067708333,357374.44249
37,Letdown_From_400_TO_175_LBH,0.0,102207.63181
38,Letdown_From_175_TO_30_LBH,6698.12334391276,19.322860463
39,STEAM_VENTING_LBH,0.0,0.0
