,variable,min,max,opt_value
0,profit,-100000,100000,36300.910267
1,power_export_dollar,0,1000000,22225.842884
2,total_fuel_within_PH_dollar,0,1000000,24264.372585
3,total_power_export_MW,0,360,225.0
4,GT_C1_NG_Flow_SCFH,400000,1000000,0.0
5,GT_C2_NG_Flow_SCFH,400000,1000000,754766.49553
6,GT_C4_NG_Flow_SCFH,400000,1000000,612994.64346
7,GT_C5_NG_Flow_SCFH,400000,1000000,500000.0
8,GT_R5_NG_Flow_KPPH,40,90,85.0
9,GT_R6_NG_Flow_KPPH,40,90,85.0
10,FHRSG_C1_NG_SCFH,0,1000000,209336.77285
11,FHRSG_C2_NG_SCFH,0,1000000,407417.44059
12,HRSG_R5_Steam_Gen_1900_KLBH,200,600,487.87853819
13,HRSG_R6_Steam_Gen_1900_KLBH,200,600,431.86661907
14,STG_C3_Steam_Cons_1250_LBH,600000,1400000,975175.86618
15,STG_R2_Steam_Cons_600_KLBH,10,350,0.0
16,STG_R3_Steam_Cons_600_KLBH,10,350,0.0
17,STG_R4_Steam_Cons_1900_KLBH,450,1100,917.43562459
18,GT_C1_Power_MW,40,70,0.0
19,GT_C2_Power_MW,30,70,65.0
20,GT_C4_Power_MW,30,90,43.089420211
21,GT_C5_Power_MW,20,90,31.004733894
22,GT_R5_Power_MW,80,200,183.68594195
23,GT_R6_Power_MW,80,200,185.04972973
24,STG_C3_Power_MW,40,70,33.559325627
25,STG_R2_Power_MW,40,70,0.0
26,STG_R3_Power_MW,40,70,0.0
27,STG_R4_Power_MW,40,70,59.310632847
28,Power_Gen_MW,0,800,600.69978426
29,Letdown_1900_TO_600_KLBH,0,1000000,0.0
30,BLR_C1_Steam_Gen_1250_LBH,30000,750000,100000.0
31,BLR_C2_Steam_Gen_1250_LBH,30000,700000,607263.01968
32,HRSG_C4_Steam_Gen_1250_LBH,150000,300000,184906.78521
33,HRSG_C5_Steam_Gen_1250_LBH,100000,260000,176694.00127
34,Letdown_1250_TO_400_LBH,0,1400000,0.0
35,STG_R4_Steam_Gen_600_KLBH,100000,1000,773.60897064
36,STG_C3_Steam_Gen_400_LBH,100000,700000,357374.44249
37,Letdown_From_400_TO_175_LBH,0,1300000,102207.63181
38,Letdown_From_175_TO_30_LBH,0,700000,19.322860463
39,STEAM_VENTING_LBH,0,1000000,0.0
